1,1002,1969-12-18
1,1002,1969-12-19
56,1002,1969-12-20
16,1002,1969-12-21
1,1002,1969-12-23
2,1002,1969-12-26
7,1002,1970-01-03
1,1002,1970-01-05
4,1002,1970-01-08
3,1002,1970-01-09
2,1002,1970-01-15
21,1002,1970-01-16
523,1002,1970-01-17
29,1002,2011-10-11
13,1002,2011-10-27
69,1002,2011-11-02
75,1002,2011-11-03
312,1002,2011-11-04
4,1002,2011-11-05
39,1002,2011-11-07
20,1002,2011-11-08
2,1002,2011-11-09
4,1002,2011-11-10
19,1002,2011-11-14
78,1002,2011-11-15
552,1002,2011-11-16
566,1002,2011-11-17
70,1002,2011-11-18
3,1002,2011-11-19
17,1002,2011-11-21
46,1002,2011-11-22
60,1002,2011-11-23
153,1002,2011-11-24
57,1002,2011-11-25
4,1002,2011-11-26
1,1002,2011-11-27
114,1002,2011-11-28
120,1002,2011-11-29
179,1002,2011-11-30
860,1002,2011-12-01
1182,1002,2011-12-02
77,1002,2011-12-03
33,1002,2011-12-04
224,1002,2011-12-05
697,1002,2011-12-06
1155,1002,2011-12-07
1326,1002,2011-12-08
655,1002,2011-12-09
10,1002,2011-12-10
121,1002,2011-12-11
261,1002,2011-12-12
559,1002,2011-12-13
504,1002,2011-12-14
858,1002,2011-12-15
1275,1002,2011-12-16
379,1002,2011-12-17
51,1002,2011-12-18
184,1002,2011-12-19
120,1002,2011-12-20
263,1002,2011-12-21
117,1002,2011-12-22
92,1002,2011-12-23
54,1002,2011-12-24
51,1002,2011-12-25
121,1002,2011-12-26
86,1002,2011-12-27
190,1002,2011-12-28
257,1002,2011-12-29
202,1002,2011-12-30
82,1002,2011-12-31
186,1002,2012-01-02
200,1002,2012-01-03
201,1002,2012-01-04
385,1002,2012-01-05
202,1002,2012-01-06
112,1002,2012-01-07
82,1002,2012-01-08
244,1002,2012-01-09
485,1002,2012-01-10
260,1002,2012-01-11
234,1002,2012-01-12
276,1002,2012-01-13
103,1002,2012-01-14
50,1002,2012-01-15
103,1002,2012-01-16
245,1002,2012-01-17
119,1002,2012-01-18
235,1002,2012-01-19
161,1002,2012-01-20
64,1002,2012-01-21
49,1002,2012-01-22
177,1002,2012-01-23
177,1002,2012-01-24
255,1002,2012-01-25
283,1002,2012-01-26
367,1002,2012-01-27
68,1002,2012-01-28
69,1002,2012-01-29
306,1002,2012-01-30
302,1002,2012-01-31
174,1002,2012-02-01
163,1002,2012-02-02
481,1002,2012-02-03
155,1002,2012-02-04
475,1002,2012-02-05
1250,1002,2012-02-06
814,1002,2012-02-07
1163,1002,2012-02-08
1211,1002,2012-02-09
1053,1002,2012-02-10
922,1002,2012-02-11
590,1002,2012-02-12
776,1002,2012-02-13
1809,1002,2012-02-14
1724,1002,2012-02-15
1740,1002,2012-02-16
1997,1002,2012-02-17
3205,1002,2012-02-18
2963,1002,2012-02-19
3198,1002,2012-02-20
3958,1002,2012-02-21
3419,1002,2012-02-22
3142,1002,2012-02-23
3094,1002,2012-02-24
3182,1002,2012-02-25
3080,1002,2012-02-26
3255,1002,2012-02-27
3767,1002,2012-02-28
4607,1002,2012-02-29
3531,1002,2012-03-01
3534,1002,2012-03-02
3560,1002,2012-03-03
2915,1002,2012-03-04
4186,1002,2012-03-05
4677,1002,2012-03-06
4224,1002,2012-03-07
4612,1002,2012-03-08
2551,1002,2012-03-09
3160,1002,2012-03-10
3098,1002,2012-03-11
4898,1002,2012-03-12
4672,1002,2012-03-13
4738,1002,2012-03-14
4187,1002,2012-03-15
3718,1002,2012-03-16
2974,1002,2012-03-17
2951,1002,2012-03-18
4222,1002,2012-03-19
4358,1002,2012-03-20
4216,1002,2012-03-21
4459,1002,2012-03-22
4123,1002,2012-03-23
2957,1002,2012-03-24
2930,1002,2012-03-25
4084,1002,2012-03-26
4021,1002,2012-03-27
3756,1002,2012-03-28
4122,1002,2012-03-29
3764,1002,2012-03-30
3114,1002,2012-03-31
2888,1002,2012-04-01
4027,1002,2012-04-02
3970,1002,2012-04-03
4228,1002,2012-04-04
4050,1002,2012-04-05
3616,1002,2012-04-06
2961,1002,2012-04-07
2909,1002,2012-04-08
3797,1002,2012-04-09
4334,1002,2012-04-10
4199,1002,2012-04-11
4308,1002,2012-04-12
3670,1002,2012-04-13
1844,1002,2012-04-14
3108,1002,2012-04-15
4755,1002,2012-04-16
4229,1002,2012-04-17
4887,1002,2012-04-18
3795,1002,2012-04-19
4502,1002,2012-04-20
3159,1002,2012-04-21
2943,1002,2012-04-22
3807,1002,2012-04-23
4620,1002,2012-04-24
4976,1002,2012-04-25
2760,1002,2012-04-26
3289,1002,2012-04-27
3473,1002,2012-04-28
2960,1002,2012-04-29
